"Дата","Номер","Откуда","Операция","Сумма","Назначение"
"16.12.2022","00000000414","Александр ТПО","От покупателя","150 000,00, р.","Оплата по договору 3 от 01.01.2019 за ТМЦ. НДС не облагается.ООО ""Ниппон -Траст"""
"16.12.2022","00000000415","Александр ТПО","От покупателя","270 300,00, р.","Оплата по договору № 384 от 01.01.2022 , за комплектующие В том числе НДС(20%) 45050-00.ООО ""СТМ консалтинг"""
"16.12.2022","00000000416","Александр ТПО","От покупателя","348 900,00, р.","Оплата по договору № 384 от 01.01.2022 , за комплектующие, в том числе НДС 20%ООО ""СТМ КОНСАЛТИНГ"""
"16.12.2022","00000000417","Александр ТПО","От покупателя","840 000,00, р.","Оплата услуг, согласно договора N 42 от 01.06.19г. НДС не облагается.ООО ""ТехСервис"""
"16.12.2022","00000000419","Александр ТПО","От покупателя","265 222,00, р.","Оплата по договору №318 от 01.07.2021, НДС не облагается.252003344755 Индивидуальный предприниматель ДАНИШ ИРИНА НИКОЛАЕВНА"
