"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 01:39:36 GMT 2024","Mon Sep 09 01:39:38 GMT 2024","1812","","<Проверка Расходной Накладной на создание и проведение>","","","","<описание сценария>120,00",""
"passed","Mon Sep 09 01:45:30 GMT 2024","Mon Sep 09 01:45:30 GMT 2024","53","step_definitions","test_get_employee_data","","","","test_get_all_user_data","/home/runner/work/github-action-with-allure-report/github-action-with-allure-report/tests/features/get_user_data.feature: Get all user data"
"passed","Mon Sep 09 01:45:30 GMT 2024","Mon Sep 09 01:45:30 GMT 2024","50","step_definitions","test_get_employee_data","","","","test_get_a_single_user_data","/home/runner/work/github-action-with-allure-report/github-action-with-allure-report/tests/features/get_user_data.feature: Get a single user data"
"passed","Mon Sep 09 01:39:31 GMT 2024","Mon Sep 09 01:39:36 GMT 2024","4648","","Проверка Справочников на Создание","","","","Тестна создание Сотрудника, и его удаление",""
