"N","Информация по авто","% НДС","Номенклатура","Количество","Всего","Цена","Сумма","Поставщик","НДС","Цена поставщика","Договор поставщика","Цена поставщика (нацен.)","Цена поставщика (%)"
"1","YAMAHA XVS 1100 DRAG STAR VP13J-007986","Без НДС","Экспертиза","1,000","","","","СВТС","","","Основной договор (руб.)","",""
"2","YAMAHA XVS 1100 DRAG STAR VP13J-007986","Без НДС","СВХ разбор","1,000","","","","","","","","",""
"3","YAMAHA XVS 1100 DRAG STAR VP13J-007986","Без НДС","Экспертиза (обяз.)","1,000","","","","Расходы по машинам","","200,00","Основной договор (руб.)","-200,00",""
"4","YAMAHA XVS 1100 DRAG STAR VP13J-007986","Без НДС","Активация ГЛОНАСС","1,000","2 500,00","2 500,00","2 500,00","","","","","",""
"5","YAMAHA XVS 1100 DRAG STAR VP13J-007986","Без НДС","Экспертиза","1,000","","","","СВТС","","","Основной договор (руб.)","",""
