"Дата","Автор","Банк / Касса","Операция","Откуда / куда","Сумма","Комментарий","Касса / счет","Номер","Назначение"
"07.12.2018","Елена","Банк","От покупателя","ВБС ООО","762 800,00, 762 800,00, р.","","40702810920020001533, в 044525388 ТКБ БАНК ПАО","00000000111","Оплата по договору №18-к от 8 ноября 2018 за оказанные услуги Сумма: 762800-00, НДС не облагается."
"12.12.2018","Елена","Банк","От покупателя","ВБС ООО","346 700,00, 346 700,00, р.","","40702810920020001533, в 044525388 ТКБ БАНК ПАО","00000000087","Доплата по договору №18-к от 8 ноября 2018 за оказанные услуги Сумма: 346700-00, НДС не облагается."
