"Дата","Автор","Банк / Касса","Операция","Откуда / куда","Сумма","Комментарий","Касса / счет","Номер","Назначение"
"10.01.2022","Мария","Банк","От покупателя","Александр ТПО","821 200,00, 821 200,00, р.","","40702810020020003771, в ФИЛИАЛ ""ХАБАРОВСКИЙ"" АО ""АЛЬФА-БАНК""","00000000003","Оплата по договору № 372 от 01.10.2021 за комплектующие в т.ч. НДС 20% - 136 866.67ООО ""ТД МИЛЛЕНИУМ"""
"10.01.2022","Мария","Банк","От покупателя","ФИЛИАЛ ""ХАБАРОВСКИЙ"" АО ""АЛЬФА-БАНК""","2 223,72, 2 223,72, р.","","40702810020020003771, в ФИЛИАЛ ""ХАБАРОВСКИЙ"" АО ""АЛЬФА-БАНК""","00000000001","/3/ Выплата начисленных процентов с 01.12.21 по 31.12.21 по счету ООО ""АЗИЯ СТАР"""
