"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 02:00:17 GMT 2024","Mon Sep 09 02:00:34 GMT 2024","16112","","Проверка Справочников на Создание","","","","Тестна создание Сотрудника, и его удаление",""
"passed","Mon Sep 09 02:01:11 GMT 2024","Mon Sep 09 02:01:11 GMT 2024","519","step_definitions","test_get_employee_data","","","","test_get_all_user_data","/home/runner/work/github-action-with-allure-report/github-action-with-allure-report/tests/features/get_user_data.feature: Get all user data"
"passed","Mon Sep 09 02:01:11 GMT 2024","Mon Sep 09 02:01:11 GMT 2024","35","step_definitions","test_get_employee_data","","","","test_get_a_single_user_data","/home/runner/work/github-action-with-allure-report/github-action-with-allure-report/tests/features/get_user_data.feature: Get a single user data"
"failed","Mon Sep 09 02:00:34 GMT 2024","Mon Sep 09 02:00:35 GMT 2024","1376","","<Проверка Расходной Накладной на создание и проведение>","","","","<описание сценария>120,00",""
