"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 01:32:47 GMT 2024","Mon Sep 09 01:32:48 GMT 2024","227","step_definitions","test_get_employee_data","","","","test_get_a_single_user_data","/home/runner/work/github-action-with-allure-report/github-action-with-allure-report/tests/features/get_user_data.feature: Get a single user data"
"failed","Mon Sep 09 01:31:54 GMT 2024","Mon Sep 09 01:31:58 GMT 2024","4282","","<Проверка Расходной Накладной на создание и проведение>","","","","<описание сценария>120,00",""
"passed","Mon Sep 09 01:31:43 GMT 2024","Mon Sep 09 01:31:54 GMT 2024","10313","","Проверка Справочников на Создание","","","","Тестна создание Сотрудника, и его удаление",""
"passed","Mon Sep 09 01:32:47 GMT 2024","Mon Sep 09 01:32:47 GMT 2024","57","step_definitions","test_get_employee_data","","","","test_get_all_user_data","/home/runner/work/github-action-with-allure-report/github-action-with-allure-report/tests/features/get_user_data.feature: Get all user data"
