"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 09 00:26:34 GMT 2024","Mon Sep 09 00:26:35 GMT 2024","899","","<Проверка Расходной Накладной на создание и проведение>","","","","<описание сценария>120,00",""
"passed","Mon Sep 09 00:26:29 GMT 2024","Mon Sep 09 00:26:34 GMT 2024","4452","","Проверка Справочников на Создание","","","","Тестна создание Сотрудника, и его удаление",""
"passed","Mon Sep 09 01:30:14 GMT 2024","Mon Sep 09 01:30:14 GMT 2024","55","step_definitions","test_get_employee_data","","","","test_get_all_user_data","/home/runner/work/github-action-with-allure-report/github-action-with-allure-report/tests/features/get_user_data.feature: Get all user data"
"passed","Mon Sep 09 01:30:14 GMT 2024","Mon Sep 09 01:30:14 GMT 2024","49","step_definitions","test_get_employee_data","","","","test_get_a_single_user_data","/home/runner/work/github-action-with-allure-report/github-action-with-allure-report/tests/features/get_user_data.feature: Get a single user data"
